iter	Passed	Remaining
0	2	2251
1	4	2464
2	6	2294
3	8	2218
4	10	2067
5	11	1883
6	12	1835
7	14	1756
8	14	1614
9	16	1600
10	16	1508
11	20	1653
12	22	1716
13	24	1726
14	27	1790
15	28	1757
16	30	1764
17	31	1732
18	33	1752
19	34	1710
20	37	1753
21	39	1745
22	40	1716
23	42	1711
24	43	1698
25	45	1703
26	47	1710
27	48	1679
28	49	1660
29	52	1687
30	54	1693
31	55	1672
32	56	1652
33	57	1634
34	58	1626
35	59	1606
36	60	1585
37	62	1588
38	64	1578
39	67	1611
40	69	1621
41	70	1606
42	73	1639
43	76	1653
44	77	1640
45	79	1646
46	81	1645
47	82	1638
48	83	1626
49	84	1613
50	86	1614
51	88	1607
52	88	1586
53	89	1575
54	90	1558
55	93	1577
56	94	1570
57	95	1553
58	97	1551
59	99	1553
60	101	1555
61	102	1550
62	104	1553
63	108	1588
64	109	1577
65	110	1570
66	113	1581
67	115	1580
68	116	1577
69	118	1573
70	122	1599
71	124	1606
72	125	1598
73	127	1599
74	129	1602
75	131	1602
76	134	1611
77	136	1608
78	139	1621
79	139	1609
80	141	1602
81	142	1592
82	143	1589
83	145	1583
84	145	1569
85	146	1561
86	148	1556
87	149	1551
88	152	1561
89	154	1560
90	155	1557
91	156	1546
92	157	1535
93	158	1525
94	159	1523
95	160	1513
96	162	1508
97	163	1504
98	166	1512
99	168	1514
100	169	1505
101	170	1497
102	171	1491
103	172	1488
104	173	1481
105	174	1474
106	175	1466
107	177	1465
108	178	1458
109	179	1455
110	183	1467
111	184	1465
112	186	1462
113	189	1470
114	190	1464
115	191	1457
116	193	1457
117	194	1457
118	196	1453
119	199	1462
120	200	1458
121	201	1451
122	203	1449
123	205	1451
124	207	1450
125	208	1447
126	209	1441
127	212	1448
128	215	1457
129	217	1458
130	219	1459
131	220	1453
132	222	1447
133	223	1444
134	224	1440
135	227	1448
136	229	1448
137	230	1442
138	232	1438
139	234	1437
140	235	1435
141	237	1434
142	238	1431
143	239	1426
144	243	1436
145	246	1443
146	248	1442
147	250	1439
148	251	1436
149	252	1433
150	253	1427
151	255	1424
152	258	1430
153	260	1432
154	262	1430
155	264	1429
156	265	1426
157	267	1425
158	268	1422
159	270	1421
160	273	1422
161	276	1429
162	278	1429
163	281	1432
164	283	1434
165	285	1436
166	289	1446
167	291	1444
168	293	1442
169	295	1441
170	297	1444
171	299	1443
172	302	1447
173	307	1460
174	309	1460
175	312	1462
176	314	1461
177	318	1471
178	321	1476
179	323	1475
180	325	1473
181	327	1472
182	329	1469
183	331	1468
184	334	1474
185	337	1477
186	339	1475
187	341	1473
188	343	1473
189	345	1471
190	346	1469
191	349	1471
192	351	1471
193	357	1484
194	361	1494
195	363	1492
196	367	1497
197	369	1495
198	371	1494
199	375	1501
200	377	1500
201	383	1514
202	385	1513
203	387	1511
204	391	1518
205	398	1535
206	402	1542
207	411	1568
208	414	1569
209	416	1566
210	418	1565
211	424	1577
212	427	1580
213	429	1577
214	430	1573
215	433	1574
216	435	1570
217	436	1565
218	438	1563
219	441	1563
220	443	1563
221	445	1560
222	448	1561
223	450	1561
224	453	1562
225	455	1560
226	458	1559
227	460	1559
228	463	1561
229	469	1572
230	475	1584
231	478	1582
232	480	1580
233	481	1576
234	485	1580
235	489	1584
236	492	1583
237	496	1590
238	498	1587
239	502	1591
240	505	1592
241	508	1593
242	518	1614
243	522	1617
244	523	1613
245	525	1609
246	526	1606
247	528	1601
248	534	1611
249	535	1607
250	537	1603
251	538	1599
252	541	1598
253	546	1605
254	548	1602
255	550	1600
256	552	1597
257	556	1601
258	561	1607
259	566	1612
260	573	1623
261	575	1620
262	577	1618
263	579	1615
264	582	1615
265	584	1611
266	586	1610
267	590	1611
268	593	1613
269	597	1615
270	599	1612
271	602	1611
272	604	1611
273	607	1609
274	609	1605
275	612	1605
276	614	1603
277	616	1601
278	619	1601
279	621	1598
280	623	1594
281	626	1594
282	627	1590
283	629	1587
284	633	1590
285	636	1589
286	640	1591
287	641	1587
288	644	1586
289	646	1582
290	651	1586
291	653	1584
292	654	1580
293	656	1575
294	657	1572
295	659	1568
296	661	1566
297	664	1564
298	666	1563
299	668	1559
300	670	1556
301	671	1552
302	674	1551
303	676	1548
304	680	1550
305	682	1547
306	683	1543
307	686	1542
308	688	1540
309	691	1538
310	692	1534
311	696	1535
312	698	1532
313	699	1528
314	700	1524
315	702	1521
316	705	1519
317	706	1516
318	711	1518
319	714	1518
320	715	1514
321	717	1511
322	719	1507
323	721	1505
324	723	1502
325	726	1502
326	728	1499
327	729	1495
328	732	1494
329	734	1490
330	736	1487
331	738	1485
332	742	1487
333	744	1484
334	746	1481
335	747	1477
336	750	1476
337	753	1475
338	755	1472
339	758	1472
340	759	1468
341	761	1465
342	763	1461
343	766	1461
344	769	1460
345	770	1456
346	774	1457
347	776	1455
348	779	1453
349	783	1454
350	784	1450
351	787	1450
352	790	1448
353	793	1447
354	794	1443
355	796	1440
356	799	1439
357	800	1435
358	803	1434
359	805	1431
360	809	1432
361	810	1428
362	812	1425
363	813	1421
364	814	1417
365	817	1415
366	818	1412
367	821	1410
368	823	1408
369	826	1407
370	829	1405
371	831	1404
372	835	1405
373	837	1401
374	839	1398
375	843	1399
376	845	1396
377	847	1394
378	849	1392
379	852	1390
380	855	1389
381	859	1390
382	864	1392
383	866	1390
384	869	1389
385	872	1387
386	874	1385
387	878	1385
388	881	1384
389	884	1383
390	887	1381
391	888	1378
392	892	1378
393	896	1379
394	899	1377
395	901	1375
396	903	1372
397	905	1369
398	910	1371
399	914	1371
400	915	1367
401	918	1365
402	921	1364
403	924	1363
404	926	1361
405	928	1358
406	930	1355
407	933	1353
408	935	1351
409	937	1348
410	941	1348
411	943	1346
412	945	1343
413	947	1341
414	950	1340
415	952	1337
416	955	1335
417	956	1332
418	960	1331
419	961	1327
420	963	1325
421	968	1326
422	974	1329
423	977	1328
424	980	1326
425	983	1324
426	986	1324
427	988	1321
428	990	1318
429	992	1315
430	993	1312
431	995	1308
432	998	1308
433	1001	1306
434	1003	1303
435	1005	1301
436	1007	1297
437	1009	1295
438	1011	1292
439	1017	1295
440	1021	1295
441	1023	1291
442	1024	1288
443	1027	1286
444	1030	1284
445	1035	1285
446	1036	1282
447	1038	1279
448	1040	1276
449	1042	1273
450	1046	1273
451	1048	1271
452	1051	1269
453	1053	1266
454	1054	1263
455	1057	1261
456	1061	1260
457	1063	1258
458	1067	1258
459	1071	1257
460	1074	1256
461	1076	1253
462	1080	1253
463	1084	1252
464	1086	1249
465	1087	1246
466	1091	1245
467	1092	1242
468	1096	1240
469	1097	1238
470	1099	1235
471	1101	1231
472	1102	1228
473	1104	1225
474	1106	1222
475	1108	1220
476	1111	1218
477	1113	1215
478	1114	1212
479	1116	1209
480	1117	1206
481	1120	1203
482	1122	1201
483	1125	1199
484	1127	1197
485	1128	1193
486	1130	1190
487	1131	1187
488	1133	1184
489	1135	1182
490	1137	1178
491	1139	1176
492	1141	1173
493	1142	1170
494	1144	1167
495	1145	1164
496	1147	1160
497	1150	1159
498	1152	1157
499	1156	1156
500	1158	1153
501	1159	1150
502	1161	1147
503	1164	1146
504	1167	1144
505	1171	1143
506	1174	1141
507	1175	1138
508	1177	1135
509	1178	1132
510	1182	1131
511	1184	1128
512	1186	1126
513	1188	1123
514	1191	1121
515	1192	1118
516	1194	1115
517	1197	1114
518	1198	1111
519	1200	1107
520	1202	1105
521	1203	1102
522	1205	1099
523	1206	1096
524	1210	1095
525	1213	1093
526	1214	1090
527	1216	1087
528	1217	1084
529	1219	1081
530	1220	1078
531	1222	1075
532	1226	1074
533	1229	1072
534	1231	1070
535	1233	1067
536	1235	1065
537	1237	1062
538	1242	1062
539	1246	1061
540	1248	1059
541	1251	1057
542	1253	1055
543	1256	1052
544	1258	1050
545	1260	1048
546	1263	1046
547	1265	1043
548	1267	1040
549	1268	1037
550	1270	1034
551	1272	1033
552	1274	1030
553	1276	1027
554	1278	1024
555	1280	1022
556	1281	1019
557	1283	1016
558	1284	1013
559	1286	1010
560	1289	1008
561	1291	1006
562	1293	1004
563	1296	1002
564	1298	999
565	1301	998
566	1303	995
567	1306	993
568	1307	990
569	1310	988
570	1311	985
571	1314	983
572	1317	981
573	1319	979
574	1322	977
575	1324	975
576	1327	972
577	1329	970
578	1332	969
579	1336	967
580	1339	965
581	1342	963
582	1345	962
583	1348	960
584	1352	959
585	1354	956
586	1356	954
587	1357	951
588	1359	948
589	1361	946
590	1366	945
591	1367	942
592	1369	940
593	1371	937
594	1372	934
595	1374	931
596	1376	929
597	1379	927
598	1381	924
599	1384	922
600	1385	920
601	1387	917
602	1388	914
603	1390	911
604	1391	908
605	1394	906
606	1398	905
607	1400	903
608	1403	900
609	1405	898
610	1406	895
611	1410	894
612	1412	892
613	1414	889
614	1416	886
615	1417	883
616	1419	881
617	1421	878
618	1426	878
619	1429	875
620	1430	873
621	1432	870
622	1433	867
623	1435	864
624	1436	862
625	1441	861
626	1444	859
627	1445	856
628	1447	853
629	1449	851
630	1451	849
631	1455	847
632	1459	846
633	1461	843
634	1462	840
635	1464	838
636	1465	835
637	1466	832
638	1468	829
639	1472	828
640	1477	827
641	1481	826
642	1484	824
643	1488	822
644	1492	821
645	1497	820
646	1502	819
647	1507	818
648	1516	819
649	1519	818
650	1522	816
651	1525	814
652	1528	812
653	1532	810
654	1535	808
655	1536	805
656	1538	803
657	1540	800
658	1541	797
659	1543	795
660	1545	792
661	1549	791
662	1552	789
663	1554	786
664	1556	783
665	1558	781
666	1561	779
667	1563	776
668	1566	775
669	1568	772
670	1570	769
671	1571	767
672	1573	764
673	1574	761
674	1579	760
675	1588	761
676	1597	761
677	1608	763
678	1613	762
679	1617	761
680	1622	759
681	1629	759
682	1633	758
683	1637	756
684	1639	754
685	1641	751
686	1645	749
687	1647	747
688	1652	745
689	1653	743
690	1656	740
691	1657	737
692	1659	735
693	1660	732
694	1662	729
695	1664	726
696	1667	724
697	1669	722
698	1672	720
699	1674	717
700	1675	714
701	1676	711
702	1678	708
703	1683	707
704	1685	705
705	1686	702
706	1688	699
707	1690	697
708	1691	694
709	1694	692
710	1698	690
711	1701	688
712	1703	685
713	1705	683
714	1707	680
715	1709	678
716	1712	675
717	1717	674
718	1718	671
719	1720	669
720	1721	666
721	1723	663
722	1725	661
723	1730	659
724	1732	657
725	1734	654
726	1736	652
727	1737	649
728	1739	646
729	1740	643
730	1744	641
731	1748	640
732	1749	637
733	1751	634
734	1753	632
735	1754	629
736	1756	626
737	1759	624
738	1761	621
739	1762	619
740	1763	616
741	1765	613
742	1766	611
743	1768	608
744	1772	606
745	1774	604
746	1776	601
747	1777	598
748	1779	596
749	1781	593
750	1783	591
751	1786	589
752	1789	586
753	1791	584
754	1793	581
755	1795	579
756	1797	576
757	1801	575
758	1804	573
759	1806	570
760	1807	567
761	1809	565
762	1811	562
763	1813	560
764	1815	557
765	1818	555
766	1819	552
767	1821	550
768	1822	547
769	1824	544
770	1826	542
771	1827	539
772	1830	537
773	1831	534
774	1833	532
775	1835	529
776	1837	527
777	1839	524
778	1840	522
779	1845	520
780	1847	517
781	1848	515
782	1850	512
783	1851	510
784	1852	507
785	1855	505
786	1856	502
787	1862	500
788	1865	498
789	1867	496
790	1869	493
791	1871	491
792	1874	489
793	1875	486
794	1879	484
795	1881	482
796	1883	479
797	1885	477
798	1889	475
799	1892	473
800	1895	470
801	1896	468
802	1898	465
803	1900	463
804	1901	460
805	1903	458
806	1905	455
807	1910	453
808	1912	451
809	1913	448
810	1915	446
811	1916	443
812	1918	441
813	1921	439
814	1924	436
815	1925	434
816	1926	431
817	1928	429
818	1929	426
819	1931	424
820	1933	421
821	1937	419
822	1939	417
823	1941	414
824	1942	412
825	1943	409
826	1946	407
827	1949	404
828	1951	402
829	1954	400
830	1956	397
831	1959	395
832	1961	393
833	1965	391
834	1969	389
835	1970	386
836	1972	384
837	1974	381
838	1975	379
839	1977	376
840	1980	374
841	1983	372
842	1985	369
843	1987	367
844	1988	364
845	1991	362
846	1994	360
847	1996	357
848	1999	355
849	2001	353
850	2003	350
