iter	Passed	Remaining
0	2	481
1	6	609
2	7	496
3	9	462
4	10	413
5	12	405
6	13	379
7	14	357
8	17	380
9	21	402
10	23	401
11	25	395
12	27	388
13	28	373
14	29	359
15	30	356
16	32	346
17	33	343
18	34	332
19	35	323
20	37	317
21	38	314
22	40	313
23	42	311
24	44	310
25	46	309
26	48	308
27	49	305
28	52	311
29	54	306
30	56	306
31	58	306
32	60	307
33	63	310
34	64	306
35	67	306
36	68	303
37	70	299
38	72	297
39	73	295
40	75	293
41	78	293
42	80	294
43	81	289
44	83	287
45	85	284
46	86	282
47	89	284
48	91	282
49	94	282
50	95	278
51	97	277
52	99	276
53	100	271
54	102	269
55	104	267
56	106	266
57	110	269
58	112	268
59	113	265
60	115	264
61	117	262
62	119	260
63	121	258
64	122	255
65	124	252
66	126	250
67	128	248
68	129	246
69	131	244
70	132	241
71	133	238
72	135	235
73	136	232
74	138	231
75	140	229
76	141	226
77	142	223
78	144	220
79	145	218
80	147	216
81	149	215
82	152	214
83	154	212
84	155	210
85	157	208
86	159	206
87	161	205
88	163	203
89	165	201
90	168	201
91	169	198
92	170	196
93	172	194
94	172	191
95	174	188
96	175	186
97	177	184
98	178	182
99	181	181
100	183	180
101	185	178
102	186	176
103	188	174
104	189	171
105	192	170
106	194	168
107	196	167
108	197	165
109	199	163
110	201	161
111	203	159
112	205	158
113	207	156
114	208	154
115	212	153
116	214	152
117	216	150
118	218	148
119	220	147
120	222	145
121	224	143
122	225	140
123	225	138
124	226	135
125	228	134
126	230	132
127	232	130
128	234	128
129	236	127
130	237	125
131	238	123
132	241	121
133	242	119
134	244	117
135	246	115
136	247	113
137	249	112
138	251	110
139	253	108
140	255	107
141	257	105
142	259	103
143	261	101
144	262	99
145	264	97
146	266	95
147	268	94
148	270	92
149	272	90
150	274	88
151	275	87
152	278	85
153	280	83
154	281	81
155	284	80
156	286	78
157	288	76
158	291	75
159	293	73
160	295	71
161	297	69
162	299	68
163	301	66
164	303	64
165	305	62
166	307	60
167	309	58
168	311	57
169	313	55
170	315	53
171	317	51
172	318	49
173	321	47
174	323	46
175	325	44
176	327	42
177	329	40
178	331	38
179	332	36
180	334	35
181	336	33
182	338	31
183	339	29
184	340	27
185	343	25
186	344	23
187	347	22
188	348	20
189	350	18
190	352	16
191	354	14
192	357	12
193	359	11
194	361	9
195	363	7
196	365	5
197	367	3
198	369	1
199	372	0
